itemId,title,conditionId,condition,price.value,price.currency,seller.username,seller.feedbackPercentage,seller.feedbackScore,itemLocation.country,topRatedBuyingExperience,priorityListing,marketingPrice.originalPrice.value,marketingPrice.discountPercentage,shipping_cost,days_listed,category_id,category_name,seller_item_count,club,country,year,additional_image_count,title_length,discount_flag,condition_desc,top_club,top_country,Messi
v1|127209322243|428312307187,"New USMNT 2024 Away Nike Long Sleeve Soccer Jersey Mens Sz MED, LRG FJ1263-417",1000,New,49.99,USD,hatcityshop,100.0,961,US,False,False,,,4.99,15,2891,Soccer-National Teams,1,,,,2,78,False,1000 - New,False,False,False
v1|388337848234|655503233845,France 2006 World Cup Final Zidane #10 Retro Long Sleeve Football Jersey,1000,New,72.97,USD,saja8370,100.0,22,FR,False,False,,,0.0,83,2891,Soccer-National Teams,5,,France,2006.0,4,72,False,1000 - New,False,True,False
v1|267302861427|567086689299,JERSEY FC St. Pauli Away Soccer Mens 2025-26,1000,New,28.99,USD,suz_us0,100.0,651,NZ,False,False,,,7.0,25,2887,Soccer-International Clubs,7,,,2026.0,1,44,False,1000 - New,False,False,False
v1|286393025554|588498783968,Colombia Centennial Edition Black Jersey Soccer,1000,New,30.99,USD,blak.gonz,98.3,1029,NZ,False,False,,,6.8,134,2887,Soccer-International Clubs,13,,,,1,47,False,1000 - New,False,False,False
v1|286677253337|588701965621,JERSEY SANTOS FC Special Edition Blue 2025,1000,New,28.98,USD,pabl_payt,98.5,1170,NZ,False,False,,,7.0,23,2887,Soccer-International Clubs,7,,,2025.0,1,42,False,1000 - New,False,False,False
v1|267304349066|567088163488,JERSEY Lazio Away 1992 Soccer Mens,1000,New,28.98,USD,luk_wrig,97.6,850,NZ,False,False,,,7.0,23,2887,Soccer-International Clubs,11,,,1992.0,1,34,False,1000 - New,False,False,False
v1|256903475811|0,Brazil Ronaldinho 2006 Retro Jersey Men's XL,1000,New,59.0,USD,adi841,98.2,431,US,False,False,,,0.0,88,2891,Soccer-National Teams,4,,Brazil,2006.0,3,44,False,1000 - New,False,True,False
v1|157031603650|458534516058,JERSEY Cruz Azul Fútbol Club Home Men 2025,1000,New,28.99,USD,eithassady,99.3,777,NZ,False,False,,,7.0,54,2887,Soccer-International Clubs,14,,,2025.0,1,42,False,1000 - New,False,False,False
v1|176902176809|476618703054,"Las Vegas Quicksilvers - 1977 AWAY soccer jersey Replica, EUSEBIO NASL LEAGUE",1000,New,28.99,USD,vjsuple-40,98.3,622,NZ,False,False,,,4.99,135,2885,Soccer-Other,22,,,1977.0,5,77,False,1000 - New,False,False,False
v1|388011194990|655241097890,JERSEY Ulsan Hyundai FC Home 2025,1000,New,28.98,USD,wende_3829,97.0,95,NZ,False,False,,,7.0,142,2887,Soccer-International Clubs,7,,,2025.0,1,33,False,1000 - New,False,False,False
