position,title,asin,is_prime,rating,ratings_total,sponsored,coupon,lego_theme,age_rec,recent_sales_num,price_value,price_list_price,price_name,stock_info,has_coupon,top_theme,discount$,discount%
34,"LEGO Star Wars Captain Rex Helmet Building Set, The Clone Wars Collectible Model for Adults, Star Wars Memorabilia, 75349",B0BLJ2V7YQ,False,4.9,2554.0,False,,Star Wars,None,1000.0,55.99,69.99,Primary,None,False,True,14.0,0.2
35,"LEGO City Fire 4x4 Fire Truck with Rescue Boat Building Toy - Pretend Play Preschool Toy for Boys & Girls, Ages 5+ - Gift Ideas for Birthdays - 60412",B0CGY5JPBQ,False,4.9,454.0,False,,City,5.0,2000.0,27.99,34.99,Primary,None,False,True,7.0,0.2
36,LEGO Icons French Café Paris Building Kit - DIY Set for Adults - Collectible Bedroom and Home Decor - Display for Home or Office - Gift for Wedding or Bride - 10362,B0DJ1C7BBP,False,4.5,33.0,False,,Other,None,400.0,79.99,,,None,False,False,0.0,0.0
40,"LEGO Technic McLaren P1 Hypercar Building Set, Gift for Adult Racing Fans, Race Car Collectible Model with V8 Piston Engine and 7-Speed Gearbox, 42172",B0CV2CLZXJ,False,4.7,137.0,False,,Technic,None,100.0,449.95,,,None,False,True,0.0,0.0
42,"LEGO Creator 3 in 1 Medieval Dragon Toy - Building Toy with 3 Build Options, Dragon, Sea Serpent, or Phoenix - Fantasy Set for Kids, Boys and Girls, Ages 9+ - Gift Idea for Birthdays - 31161",B0DJ1B4PZR,False,4.9,258.0,False,,Creator,9.0,2000.0,55.99,59.99,Primary,None,False,True,4.0,0.07
44,"LEGO Marvel Spider-Man Final Battle Building Toy Set, Marvel Collectible Based on The Climax of The Spider-Man: No Way Home Movie, Multiverse Marvel Playset with 3 Versions of Spider-Man, 76261",B0BSRG6RYX,False,4.8,894.0,False,,Marvel,None,700.0,99.09,109.99,Primary,None,False,True,10.9,0.1
46,LEGO Creator Expert Roller Coaster 10261 Building Kit (4124 Pieces),B07D69M13J,False,4.7,671.0,False,,Creator,None,50.0,534.99,,,None,False,True,0.0,0.0
47,"LEGO Disney Tim Burton's The Nightmare Before Christmas Decor - Building Set for Adults for Display, Ages 18+ - Collectible DIY Craft for Fans of Iconic Movie with Minifigures Included - 21351",B0CYM126TT,False,4.8,121.0,False,,Disney,18.0,400.0,199.99,,,None,False,True,0.0,0.0
50,"Lego Movie, The (Blu-ray)",B00I6JOBTI,False,4.7,25561.0,False,,Other,None,100.0,7.96,14.97,Blu-ray,None,False,False,7.01,0.47
51,"LEGO Ideas Motorized Lighthouse 21335 Adult Model Building Kit, Complete with Rotating Lights, Quaint Cottage and a Mysterious Cave, Creative Gift Idea",B0B525G8WW,False,4.7,532.0,False,,Ideas,None,300.0,299.95,,,None,False,True,0.0,0.0
54,"LEGO Classic Green Baseplate, Square 32x32 Stud Foundation to Build, Play, and Display Brick Creations, Great for Grassy Nature Landscapes, 11023",B09JKVKC47,False,4.8,32582.0,False,,Classic,None,8000.0,5.79,7.99,Primary,None,False,True,2.2,0.28
55,Lego DC Comics Super Heroes: The Flash,B078WGS36L,False,4.6,1499.0,False,,Other,None,,6.99,,Prime Video,None,False,False,0.0,0.0
57,"LEGO Star Wars at-at Walker 75313 Buildable Model - Collectible Set for Adults, Ultimate Build and Display Set, 9 Minifigures Including General Veers, Luke Skywalker, Snowtroopers and at-at Drivers",B09JKZ62H7,False,4.5,415.0,False,,Star Wars,None,100.0,1128.99,1199.99,Primary,None,False,True,71.0,0.06
58,"Tree House Building Set Compatible with Lego Friends, 504 PCS Forest House Building Kit Birthday Gift for Kids Girls Boys Age 6-12 Years（7652）",B0CTBQGFCM,False,4.3,163.0,False,,Friends,6.0,1000.0,24.99,,,None,False,True,0.0,0.0
60,"LEGO Ideas A-Frame Cabin 21338 Collectible Display Set, Buildable Model Kit for Adults, Gift for Nature and Architecture Lovers, Includes 4 Customizable Minifigures and 11 Animal Figures",B0BNWBR8RS,False,4.8,419.0,False,,Architecture,None,600.0,179.99,,,None,False,True,0.0,0.0
5,LEGO Jurassic World Collection [DVD],B0DZY277KN,False,0.0,0.0,False,"{'badge_text': 'Save $4.60', 'text': 'with coupon'}",Other,None,50.0,13.86,,DVD,None,True,False,0.0,0.0
8,"LEGO Icons Leonardo da Vinci's Flying Machine DIY Kit - Ornithopter Building Set for Adults, Ages 18+ - Craft for Home or Office Decor with Display Stand - Gift Idea - 10363",B0DJ18K6WB,False,4.8,228.0,False,,Other,18.0,1000.0,49.95,,,None,False,False,0.0,0.0
9,"LEGO Icons Porsche 911 10295 Building Set, Collectible Turbo Targa, 2in1 Porsche Race Car Model Kit for Adults and Teens to Build, Gift Idea",B08T26NDPN,False,4.8,1844.0,False,,Other,None,500.0,167.99,,,None,False,False,0.0,0.0
10,"Friends Summer House Building Set for Girls 6-12, Girls Beach Villa Building Kit with 7 Minifigures, Compatible with Lego Friends Heartlake House, 938 PCS",B0DHVZNYXG,False,4.4,69.0,False,"{'badge_text': 'Save 20%', 'text': 'with coupon'}",Friends,None,100.0,49.99,,,None,True,True,0.0,0.0
12,"Flowers Roses Building Set Compatible with Lego for Adults,Gift for Christmas,Wedding,Anniversary,Botanical Collection,Artificial Flowers Home Decoration 741 pcs",B0F7H2RY7Z,False,4.6,13.0,True,,Art,None,,19.99,32.0,Save 38%,None,False,True,12.01,0.38
15,"LEGO Star Wars at-TE Walker 75337 Poseable Toy, Revenge of The Sith Set, Gift for Kids with 3 212th Clone Troopers, Dwarf Spider & Battle Droid Figures",B09XWQ7X53,False,4.8,2200.0,False,,Star Wars,None,3000.0,139.99,,,None,False,True,0.0,0.0
17,"LEGO Art Vincent Van Gogh – Sunflowers Building Set for Adults - Wedding Decor Idea - Brick Built Painting - Gift for Wedding, Bride, Bridesmaids - 31215",B0DJ19G7D7,False,5.0,31.0,False,,Art,None,1000.0,199.99,,,None,False,True,0.0,0.0
18,"LEGO Harry Potter Privet Drive: Aunt Marge’s Visit Kids Toy - Buildable Book Nook and Room Decor for Boys and Girls, Ages 8+ - Collectible Harry Potter Minifigure - Birthday Gift Idea - 76451",B0DRW8NT7S,False,4.8,21.0,False,,Harry Potter,8.0,1000.0,89.99,,,None,False,True,0.0,0.0
21,"Flowers Botanical Collection Music Rotating Box Building Block with Light (575 PCS), Compatible with Lego Mother's Day, Valentine and Birthday Gifts",B0CP98JS44,False,3.6,20.0,True,,Other,None,,22.99,28.99,Primary,None,False,False,6.0,0.21
23,"Creator Pirate Ship Building Set Compatible with Lego for Adults,Christmas Toy Building Blocks for Boys 8-14 Years 919 pcs",B0C1B8Q34Q,False,4.4,197.0,False,"{'badge_text': 'Save 10%', 'text': 'with coupon'}",Creator,None,100.0,26.99,,,None,True,True,0.0,0.0
24,"LEGO ONE Piece The Going Merry Pirate Ship Building Blocks - Pretend Play Adventure Toy for Boys & Girls, 10+ - Straw Hat Crew Toy Figures & Playset for Anime Fans - Gift Idea for Birthdays - 75639",B0DRW5PCC3,False,0.0,0.0,False,,Other,None,3000.0,139.99,,,None,False,False,0.0,0.0
26,LEGO Creator Expert 10276 Colosseum (9036pcs),B08P11X1HX,False,4.5,88.0,False,,Creator,None,,1739.0,,,Only 1 left in stock - order soon.,False,True,0.0,0.0
27,"LEGO DC Batman & Batmobile vs. Mr. Freeze Toy Building Set - Superhero Batman Toy for Preschool Kids, Boys and Girls, Ages 4+ - Gift Idea for Kids Birthday - 76301",B0DJ1D6QQB,False,4.7,101.0,False,,Other,4.0,1000.0,15.99,19.99,Primary,None,False,False,4.0,0.2
28,"LEGO Star Wars The Mandalorian Helmet 75328 Buildable Model Kit, Display Collectible Decoration Set for Adults, Men, Women, Mom, Dad, Collectible Gift Idea",B09JKZM4CM,False,4.9,6084.0,False,,Star Wars,None,2000.0,55.99,69.99,Primary,None,False,True,14.0,0.2
30,"LEGO Icons NASA Artemis Space Launch System - DIY Rocket Model Building Set for Adults, Ages 18+ - Gifts for Graduation - Unique Bedroom Decoration for Space & NASA Lovers - 10341",B0CRWGX5NH,False,4.7,274.0,False,,Art,18.0,600.0,259.9,,,Only 4 left in stock - order soon.,False,True,0.0,0.0
