itemId,title,conditionId,condition,price.value,price.currency,seller.username,seller.feedbackPercentage,seller.feedbackScore,itemLocation.country,marketingPrice.originalPrice.value,marketingPrice.discountPercentage,shipping_cost,days_listed,category_id,category_name,seller_item_count,club,country,year_single
v1|388317405313|655490287470,JERSEY Genoa Special Edition Blue 2025,1000,New,28.98,USD,wende_3829,97.0,95,NZ,,,7.0,78,2887,Soccer-International Clubs,7,,,2025.0
v1|267302861427|567086689299,JERSEY FC St. Pauli Away Soccer Mens 2025-26,1000,New,28.99,USD,suz_us0,100.0,651,NZ,,,7.0,16,2887,Soccer-International Clubs,7,,,2025.0
v1|226820606458|525972006992,New Ecuador Centenario Soccer Jersey Home all sizes available Caicedo,,Unspecified,39.99,USD,carlo_renato,100.0,1728,US,,,0.0,66,2891,Soccer-National Teams,9,,,
v1|205574353199|0,"Real Madrid 2014/2015 Black Dragon Jersey, Ronaldo, Size L",1000,New,59.00,USD,steph01291978,100.0,484,US,,,,22,2887,Soccer-International Clubs,9,Real Madrid,,2015.0
v1|197039767159|496633142227,Palestine home shirt national team soccer jersey camiseta kelme,1000,New,68.00,USD,gully_82,100.0,473,CL,,,28.0,141,2891,Soccer-National Teams,4,,,
v1|296798250559|0,Puma Chivas De Guadalajara Alternate Soccer Futbol Jersey Men's Medium 2022-23,1000,New,69.83,USD,ox_stas,100.0,4053,US,,,0.0,248,2887,Soccer-International Clubs,1,,,2022.0
v1|355951640709|625002241211,Brazil 1998 Ronaldo #9 R9 Home Retro Jersey,1000,New,56.87,USD,danf_7171,100.0,31,US,,,5.99,332,2887,Soccer-International Clubs,7,,Brazil,
v1|317039212738|615481024047,River Plate Jersey 25,1000,New,45.00,USD,iri4147,97.7,47,US,,,0.0,13,2887,Soccer-International Clubs,27,,,
v1|317057012547|615505982341,Real Madrid Away 2025/26,1000,New,45.00,USD,iri4147,97.7,47,US,,,0.0,7,2887,Soccer-International Clubs,27,Real Madrid,,2025.0
v1|127204913208|0,Men’s XL Tigres UANL 2025-26 Slim Fit Home Jersey Local,1000,New,56.99,USD,sportscity-24,98.4,1348,US,,,0.0,12,2887,Soccer-International Clubs,1,,,2025.0
v1|317059859390|615532647077,Classic Palestine Black Centre Striped (Red/Green) Soccer Jersey,1000,New,38.99,USD,kora88**,100.0,24,US,,,0.0,6,2887,Soccer-International Clubs,4,,,
v1|365702803871|0,New Real Madrid Club World Cup Jersey Sz XL Slim Fit Fits A Large #5 Bellingham,1000,New,59.99,USD,chgar1120,98.3,118,US,,,,11,2887,Soccer-International Clubs,5,Real Madrid,,
v1|317053466871|615501147539,PSG Home 2025/26 Players Version,1000,New,45.00,USD,iri4147,97.7,47,US,,,0.0,8,2887,Soccer-International Clubs,27,,,2025.0
v1|388096244430|655305344634,JERSEY Club Deportivo Palestino Away 2024-25 Special Edition,1000,New,30.99,USD,wende_3829,97.0,95,NZ,,,7.0,117,2887,Soccer-International Clubs,7,,,2024.0
v1|365483909913|0,Mexico Jersey Seleccion Mexicana Black & Gold 2025 2XL,1000,New with tags,45.00,USD,vntz_rgv,98.8,278,US,,,6.49,108,123490,Men,5,,Mexico,2025.0
v1|127209322243|428312307187,"New USMNT 2024 Away Nike Long Sleeve Soccer Jersey Mens Sz MED, LRG FJ1263-417",1000,New,49.99,USD,hatcityshop,100.0,960,US,,,4.99,6,2891,Soccer-National Teams,1,,,2024.0
v1|136131597115|0,"NIKE Italia Italy Euro 1996 Home Jersey #3 Paolo MALDINI Retro Football, Large",3000,Used,58.42,USD,fcunlimited,100.0,267,CA,,,,26,2887,Soccer-International Clubs,1,,Italy,
v1|357209630460|625968285217, 25-26 Club America Soccer Jersey ,1000,New,49.99,USD,jeserymagasin,100.0,26,US,,,0.0,10,2887,Soccer-International Clubs,6,Club America,,2026.0
v1|177140411892|476821478594,Manchester United 98/99 Home long sleeve - Beckham #7 ALL SIZES S-XXL (fan edi.),1000,New,49.97,USD,ggjerseys,93.3,26,US,,,5.0,42,2887,Soccer-International Clubs,1,Manchester United,,1999.0
